Year	cd	State Code	State Name	Conccat	Bachelors_degree_or_higher	high_school_or_some_degree	Less_than_high_school_graduate	Less_than_$5000	$5000_to_$9999	$10000_to_$14999	$15000_to_$19999	$20000_to_$24999	$25000_to_$34999	$35000_to_$49999	$50000_to_$74999	$75000_to_$99999	$100000_to_$149999	$150000_or_more	Total_Agriculture_forestry_fishing_hunting_mining	Total_Construction	Total_Manufacturing	Total_Wholesale_trade	Total_Retail_trade	Total_Transportation_warehousing_utilities	Total_Information	Total_Finance_insurance_realestate_rental_leasing	Total_Professional_scientific_management_administrative_waste_management_services	Total_Educationalservices_healthcare_socialassistance	Total_Arts_entertainment_recreation_accommodation_foodservices	Total_Otherservices_except_Public_administration	Total_Public_administration	Male	Male_Agriculture_forestry_fishing_hunting_mining	Male_Construction	Male_Manufacturing	Male_Wholesale_trade	Male_Retail_trade	Male_Transportation_warehousing_utilities	Male_Information	Male_Finance_insurance_realestate_rental_leasing	Male_Professional_scientific_management_administrative_waste_management_services	Male_Educationalservices_healthcare_socialassistance	Male_Arts_entertainment_recreation_accommodation_foodservices	Male_Otherservices_except_Public_administration	Male_Public_administration	Female	Female_Agriculture_forestry_fishing_hunting_mining	Female_Construction	Female_Manufacturing	Female_Wholesale_trade	Female_Retail_trade	Female_Transportation_warehousing_utilities	Female_Information	Female_Finance_insurance_realestate_rental_leasing	Female_Professional_scientific_management_administrative_waste_management_services	Female_Educationalservices_healthcare_socialassistance	Female_Arts_entertainment_recreation_accommodation_foodservices	Female_Otherservices_except_Public_administration	Female_Public_administration
2020	0_AK	AK	Alaska	20200_AK	121098	309698	33572	5949	3869	7476	8007	7831	17154	25802	46592	36099	49201		9356	14933	7705	4972	21574	21114	5057	10075	18855	52808	13968	9662		125700	7419	12927	5819	3780	12975	15469	3331	4151	10966	16999	7743	5947	18174	97172	1937	2006	1886	1192	8599	5645	1726		7889		6225	3715	14619
2020	0_DC	DC	District of Columbia	20200_DC	277816	177505	34652	14227	9856	11315	8300	7315	15997	20898	35788	30691	47177		416	8006	3575	1890	9933	9202	11639	20798	75060	47443	20479	28606	57644	146269	149	6499	2069	1437	5256	6529	5874	12041		16308	10740	11287	27933	148422	267	1507		453	4677	2673	5765	8757	34913	31135	9739	17319	29711
2020	0_DE	DE	Delaware		175338		57053	11230	7995	13075	11259	14349	33090	43699	66050	51577		56874	3645	24976	32050	7650	30820	19516	4432	37001	33392	79847	18158	11442	23033	176114	2731	22678			17814	15267	2710	17025	19601	21534	10340	6805	12163	149848	914	2298	9993	2261	13006	4249	1722	19976	13791		7818	4637	10870
2020		ND	North Dakota	20200_ND	137958	303148	26631	9007	9189	12780	12625	13199	27237		60184	45490	54662	39572	29785	22382	22700	11306	27772	17548	3772	18933	19049	67470	14142	11231	16725	166167	26579	19879	17305	9231	16486	14587	2321	7620	10802	17287		7151	9242	116648	3206	2503	5395	2075	11286	2961		11313	8247	50183	6465	4080	7483
2020	0_PR	PR	Puerto Rico	20200_PR	121098	309698	33572	178865	139225	140660	122422	98327	149667	144417	122747	51495	35001	22464	5799		73286	23297	70781	29351	12979	45821	65406	165901	42288	29809	78393	369398	4960	31028	45810	17635	40107	23265	7968	18866	42714	47202	26536		42735	307298	839		27476		30674	6086	5011	26955	22692	118699	15752		35658
2020	0_SD		South Dakota	20200_SD	140300	324334	41808	8909	9235	14021	13936	15406	33862	46171	64955	49841	51448	32414	22778	23350		10346	30482	15200	4793	26846		70506	18096	12944	19058	179248			26915	8412	18085	11991	2592	11331	11642	18497	9592	7715	10649	132876	2490	1811	10021	1934	12397	3209	2201	15515	9147	52009	8504	5229	8409
2020	0_VT	VT	Vermont		138230	224524	25013	6249	5675	12907	11082	11572	23388	32383	48075	36571	42955	31923	6165	16871	28542	5167	21638	7516	3632	12658	20751	59583	14732	8340	13443	120783	4823	15386	20613	4115	12770	6032	2260	5032	12494	18477	7938	4496	6347	98255	1342	1485	7929	1052	8868	1484	1372		8257	41106	6794	3844	7096
2020	0_WY	WY	Wyoming	20200_WY	81191	217060	22529	5405	5522	7731	8990	8139	18540	25746	39009	31622	37003	24211	23965	15244	9266	4269	18425	13224	2582	9280	11534	43997	11637	6745	14716	109597	20709	13718	7565	3401		11153	1643	2916	6951		6443	4315	7654	75287	3256	1526	1701	868	8435	2071	939	6364	4583	30858	5194	2430	7062
2020		AL	Alabama	20201_AL	96025	250831	44764	10004	9639	13189	14430	11872	26002	34675	44436	30223	33155	23487	3370	17515	28812	6151	22416	13111	2983	14101	21717	45947	13434	9445	11651	116906	2624	15138	23408	4576		10764		6104	12905	9604	6419	4894	6613	93747	746	2377	5404	1575	10653		889	7997	8812	36343	7015	4551	5038
2020	1_AR	AR	Arkansas	20201_AR	95999	398584	69560	14442	18060	26423	25372	25031	44107	55545	68984	41490	38297	21077	11498	18772	48078	8303	31436	20966	3847	14908	14877	69993	11735	11251	18798	154384	10407	17486	34430		17247	16366	2467	5405	7893	15015	5030	6897	9466	130078	1091		13648	2028	14189	4600	1380	9503	6984	54978	6705	4354	9332
2020	1_AZ	AZ	Arizona	20201_AZ	238202	283685	48500	11733	7087	11293	12478	15444	28335	46593	63515	48041	60920	82066	1540		23483	9655	33953	14497	7346	49737	59841	70357	24565	14181	13446	196906	1169	18427	17416		19528	10445	4696	26789	37436	24412	14488	7481		146809	371	2687	6067	2273	14425	4052	2650	22948	22405	45945	10077	6700	6209
2020	1_CA	CA	California	20201_CA	79809	276511	54594	9173	6034	15627	13220	13391	25312	33975	45223	32441	34964	28040	11882	14189	14558	4795	20831	10337	2874	8721	16035	41444	10609	7319	16276	104069	9406	12654	11259	3870	12845	8415	1936	3462	9882	11315		4437	9081	75801	2476	1535		925	7986	1922	938	5259	6153	30129	5102		7195
	1_CO	CO	Colorado	20201_CO	181848	153419	34408	6742	6075	7342	7069	7064	15416	23137	37751	26530	36180			16230	13916	6488	17220	9986	8029	23209	45299	46180	17693	10034	10064	126295			10133	4576	9717	7418	5371	12578	27220			3985	4936	100857	876	1585		1912		2568	2658	10631		32141	7944	6049	
2020	1_CT	CT	Connecticut	20201_CT	150423	239202	38823	9441	7739	11173	10039	9656	20609	29342	43985	35909	48881	48860	463	14377	30639	6377	20313	13421	4884	30494		60478	11745	10258	14141	134062	337	13316	22101	4775	12028	9784	3156	13755	17445		6276	5197	8211	112021	126	1061	8538	1602	8285	3637	1728	16739	11048	42797		5061	5930
2020	1_FL	FL	Florida	20201_FL	125418	312255	45602	8010	7195	10979	11988		29766	40950	56641	41047	45418	32179	1560	18820	12934	5060	25318	12858	2764	23219	30452	48261	20935	8758		132156	1264	16969	10313	3907	13976	9723	1679	10500	20327	12872	11169	4940	14517	101207	296	1851	2621	1153	11342	3135	1085	12719	10125	35389	9766	3818	7907
2020	1_GA	GA	Georgia	20201_GA	110086	305345	54976	10470	8928	13177	14053	14825	27427	40155	51144	37251	40395	26983	3075	18481	30139	6059	23066	20669	3720	12549	23219	54421	17987	8995	20242		2685	16605	23582	4508	12284		2331	4964	13529	10751	9265	4887	12376	109498	390	1876	6557	1551	10782	5312	1389	7585	9690	43670		4108	7866
2020	1_HI	HI	Hawaii	20201_HI	163182	293697	28371	6389	5325	6472	5642	6950	15234	25847	43514	35778		61272	1409	20614	10154	6841	26881	20114	4524	21087	29071	59301	33970	9813	35112	151906	937	17947	7314	4706	13139	13894	2620	9459	17546	19362	18871	4445	21666	126985	472	2667	2840		13742	6220	1904	11628	11525	39939	15099	5368	13446
2020		IA	Iowa	20201_IA	152314	339608	36708	9807	10478	14431	15126	15925	32444	46229	65023	47710	55129	36880	9055	21955	60922	8240	27965	16587	3464	24834	22016	73316	12339	11929	12163	173333	7915	20116	45002	6200	16132	13544	1862	9631	12453	20293	6580	6866	6739		1140	1839	15920	2040	11833	3043	1602	15203	9563	53023	5759	5063	5424
2020	1_ID	ID	Idaho	20201_ID	165129	408805		10843	8891	15426		18000	37875	56290	85322	53592		41227	12673	31195	40669	10636	38462	18801	5660	22876	33075	68442	17409	14379	23393	202660	10802	28350	30647	8311	21795	15506	3586	10364	20635	20735	9339	9014	13576	135010	1871	2845	10022	2325	16667	3295	2074	12512	12440	47707		5365	9817
2020	1_IL		Illinois	20201_IL	41924	48633	5788	2418	1597	1970	1662	1601	2924	4523	7757	6181	12457		73	3786	5250	1528	4265	3542	1296	6010	8457	13265	2393	1918	2120	29557	62	3345	3825	976	2336	2612	743	2855	5060	3948	1142	1160	1493	24346	11	441	1425	552			553	3155		9317	1251	758	627
2020	1_IN	IN	Indiana	20201_IN	96400	278384	38712	9673	7611	11691	11907	12174	26011	33055	48257		42661	27578	713	15885	44917	5601	19790	18006	3475	11411		45344	14229	9080	8570	126215	653	14579		4223	9875	13929	2055	4964	11741	11459	6815		4579	89993	60	1306	9561	1378	9915	4077	1420	6447	7446	33885	7414	3093	3991
2020	1_KS	KS	Kansas	20201_KS	66124	193893	37180	5506	5430	8924	9618	9731	22288	30650	41712	26639	26677	15128	18569	12869	29733	6136	15699	11016	2925	9165	9760	42207	7366	7408	9516	108024	16628	11784	22262	4730	8766	9556	1755	3482	5645	10096	3547	4680	5093	74345	1941	1085	7471	1406	6933	1460	1170	5683	4115	32111	3819	2728	4423
2020	1_KY	KY	Kentucky	20201_KY		250269	40106	9985	10846	16025	13142	14030	27234	33291	42881	26145	25155	13756	7694	12515	35578	4092	15904	11614	2129	7142		40372	8215	6220	9459	96137	7029	11151	25881	3133	8086	9054	1406	2488	6359	8225	4063	4011	5251	75491	665	1364	9697	959	7818	2560	723	4654	4335	32147	4152	2209	4208
2020	1_LA	LA	Louisiana	20201_LA	81420	191584	41905	6465	6242	8207	8784	11643	17420	22600	33270	26498	28406		8921		13646	6001		11754	2272	10076	17949	38121	12345	6657	9228	96182	7405	13484	11701	4823	8309	9737	1553	4273	10573	8943	5981	3690	5710	72752	1516	1532		1178	8639	2017	719	5803	7376	29178	6364	2967	3518
2020	1_MA	MA	Massachusetts	20201_MA	146424	321787	51066	9146	10961	17033	15731	14962	29401	38167	55236	40128	54801	45893	1506	16353	36777	8478	24727	15734	3791	21262	22217	74958	13259	9615	15839	147090	1030	15192	27532	6448	14663	12693	2285	8996	13682	22367	7461	5226	9515	117426	476	1161	9245	2030	10064	3041		12266	8535	52591	5798	4389	6324
2020	1_MD	MD	Maryland	20201_MD	122485	264679	35582	7109	6073	8326	8935	9591	21055	28450	43163	37576	49923	48048	3876	21708	21959	6120	22644	12024		16208	29572	55349	13711	9833	27505	135533	3110	19489	15430	4714	11976	9550	2485	7012	18907	13534	7002	5967	16357	108872	766	2219	6529	1406	10668	2474	1411	9196	10665	41815	6709	3866	11148
2020	1_ME	ME	Maine	20201_ME	148116	231573	21606	6363	6001	10781		9974	22370	32985	50029	41690	48879		3173	17433	26882	6382	26440	9741	5047	22664	26788	61257	12580	8923	10792	131514	2728	15944	21216	4925	14937	7734	2748	9641	15966	17299	6805	4832	6739	106588	445	1489	5666	1457	11503	2007	2299	13023	10822	43958		4091	4053
2020	1_MI	MI	Michigan	20201_MI	106046	325063	38275	10683	11292	17104	18547	19802	39811	53924	69507	45060	39674	23191	6774			5331	24932	11418	2824	12575	14814	50813	16657	8978	13866	128274	5745	15564	28502	4195	13981	9216	1672	4679	9044	13013	8882	5820	7961	94797	1029	1484	8539	1136	10951	2202	1152	7896	5770	37800		3158	5905
2020	1_MN	MN	Minnesota	20201_MN	131735	301028	35210	6733	5933	12470	12359	13358	26346	41259	58592	47368	53655	37215	14403	19799	55554	8993	23230		4450	13303	16694	77484	10612	9881	11085	160818	12791	18495	40277	7008	14215	10343	2436	5366	9891	22479	5280	6201	6036	117131	1612	1304	15277	1985	9015	2118	2014	7937	6803	55005	5332		5049
2020	1_MO	MO		20201_MO	138087	266890	40042	13348	13450		15932	16321	35856	43610	56154	34163	32523	24279	988	8797	26800	6756	21355	15659	5749	20921	27836	69181	19546	10507	11918	120665	774	7880	17930	4570	10923	11206	3061		15804	19159	11137	4547	5496	125348	214	917	8870	2186	10432	4453	2688	12743	12032	50022	8409	5960	6422
2020	1_MS	MS	Mississippi	20201_MS	86775	284887	57242	10024	9622	15205	15185	13838		36078	45485	34837	31933	20034	3555	15098	51552	7471	23149	22037	2388	10108	14960	55133	11901		9729	130518	3004	14225	36163	5220	13472	17194	1656	3750	8333	11942	5269	5073	5217	106187	551	873	15389	2251	9677	4843	732	6358	6627	43191	6632	4551	4512
2020	1_MT	MT	Montana	20201_MT	105842	201707	19638	6351	6716	11303	9949		22269	29540	41827	27460	28705	21810	8407	15365	12277	3927	20334	8399	2565	10737	17068	37007	12673	6860	8964	95120	6564	14064	9772	3018	12074	6571	1524	4213	10080	11445	7120	3708	4967	69463	1843	1301	2505	909	8260	1828	1041	6524	6988	25562	5553	3152	3997
2020	1_NC	NC	North Carolina	20201_NC	45679	192029	40492	8382	9152	15187	13162	12257	21224	30219	33490	20198	19018	10139	3632	10325	26607	4060	13959	8170	1814	6987	8039	32426	7524	5599	9766	72381	3078	9518	17377	2853	6969	6600	1038	2449	4336	6579	3149	3777	4658	66527	554	807		1207	6990	1570	776	4538	3703	25847	4375	1822	5108
2020	1_NE	NE	Nebraska	20201_NE	80290	141401	17169	3990	3508	5063	5904	6456	15253	20090	30333	21029	24791	16836	4074	10854	18412	3983	11993	8262		12629	13453	34184		6254	10026	82559	3710	10113	13954	3147	7146	6670	1892	5228	7957	10711	3246	3535	5250	60796	364	741	4458	836	4847	1592	977	7401	5496	23473	3116	2719	4776
2020	1_NH	NH	New Hampshire		134652	221900	23993	4722		7174	7892	7165	17422	23853	41576	33204	44461	45847	1323	16764	36963	6435		10020	5645	20286	27838	47877	13025	8228	10438	130933	958	15431	26899	4902		7691	3146	9298	17984	12840	6898	5350	6561	96160	365	1333	10064	1533	9276	2329	2499	10988		35037	6127	2878	3877
2020	1_NJ	NJ	New Jersey	20201_NJ	152929	280505	39259	8152	7151	10111	10311	11071	21722	27512	46176	37466	52664	53763	720	16680	23699	11169	27336	17695	5908	22336	33578	67699	14008	9383	16519	146752	590	14662	16824	7845	16457	13177	4065	10784	19452	19602	8251	4895		119978	130	2018	6875	3324	10879	4518	1843	11552		48097		4488	6371
2020	1_NM	NM	New Mexico	20201_NM		288532	51503	12370	12194	15977	15707	17024	31683	41476	55319		40037	27995	3788	20605	12142	5508	23617	9798	4252	16114	36663		18479	12406	21939	136044	2752	18933	8973	4286	13855	7883	2622	6355	21999	19082	10121		11953	113428	1036	1672	3169	1222	9762	1915	1630	9759	14664	45079	8358	5176	9986
2020	1_NV	NV	Nevada	20201_NV	54683	254826	91539	13358	8819	12341	12682	13408	24927	32616	40443	25429		15641	809	21519	9146	3700	21549	12466	2094	9731	22757	25467		10441	7085	113544	753		6908	2687	11628	8989	1481			6771	26169	6166	4166		56	1654	2238	1013	9921	3477		5949	8578	18696	23622	4275	2919
2020	1_NY	NY		20201_NY	246803	330902	50117		3989	7012	7807	8804	15877	26716	42832	40664	71558	116353	1751	30582	27277	13769	33205	20939	9320	31680	48476	98947	16300	11957	23228	212233	1358		18495	9439	20929	17040	5736	17637	30929	30500	10483	7170	15146	155198	393	3211	8782	4330	12276	3899	3584	14043	17547	68447	5817	4787	8082
2020	1_OH	OH	Ohio	20201_OH	300565	424340	56479	16132	16041	19556	20569	23220	42856	58906	85777	64815	83291	87454	1032	24671	74279	14367		22812	8872	42026	63518	100178	22789	16082	18370	256341	718	22493	55105	10647	22928	17477	5130	20070	39973	29024	12669	9168	10939	195096	314	2178	19174	3720	19513	5335	3742	21956	23545	71154	10120	6914	7431
2020	1_OK	OK	Oklahoma	20201_OK	97015	187361	36181	7202	5842	7657	9235	10983	20797	29056	36832	25016	28366	27054	4618		24639	6622	18209	11619	4994		21183	39978	13649	9051	6865	107737		11924	19183	4610	10794	9173	3097	6194	12041	11679	6985	5066	3697	80870	1324	1312	5456	2012	7415	2446	1897	7750	9142	28299	6664	3985	3168
2020	1_OR	OR	Oregon	20201_OR	162636	168175	24647	6454	5947	6636	6471	7743	16456	23687	35657	29493	41228	45590	2955		39470		19209		4398	14056		37063	11496	6240	7915	117923	2455	9811	29353	4508	11335	5947	2973	6982	18759	12226	6219	3171	4184	81163	500	864	10117	1683	7874	2161	1425	7074	12551	24837		3069	3731
2020	1_PA	PA	Pennsylvania	20201_PA	248828	305274			4686	7655	9942	10329	22451	33952	57568	47929		95975	1513	27345	56834	13121	32546	15668	8984	34797	51609	85306	16432	13564	13289	212517	1245	24541	40055	9696	19501	12420	6038	18001	31524	25246	8841	7704	7705	158491	268	2804	16779	3425	13045	3248	2946	16796	20085	60060		5860	5584
	1_RI	RI	Rhode Island	20201_RI	89335	129933	24193		4644	7854	6605	5697		16160	22972	19008	25981	25952	538	8975	17236	2945	13281	5173	2135	10958		35733	9131	4818	7046	73586	316	8301	12109	2177	8149	4140	1606	5152	8351	11468	4860	2647	4310	58694	222	674	5127	768	5132	1033	529		5960	24265		2171	2736
2020	1_SC	SC	South Carolina	20201_SC	104323	152744	20222	5451		4267	4964		13013	20032	29909	24042	31082	33346	909	13948	15446	3034		8146	2773	10936	23996	35890	13978	6659	9108	88991	641	12487	11932	2409	8741	5659	1224	5275	14227	9089	7413	3750	6144	71146	268	1461	3514	625	6573	2487	1549	5661	9769	26801	6565	2909	2964
	1_TN	TN	Tennessee	20201_TN	101673	340617	55130	11995	13046	20195	21947	21182	39431	50935	62554	38246	35484		2726	17645	47410	5955	27798	14213	4068		19187	58343	20934	9365		141762	2451	16354	35293	4533	15055	11357	2756	5676	11672	14448	10295	5693	6179	110924	275	1291	12117	1422	12743	2856	1312	8903	7515	43895	10639	3672	4284
2020	1_TX	TX	Texas	20201_TX		244231	52944	7914		11656	11213		23387	29909	42222	27711	28868	19353	11084	16904	24151	6092	20719	11237	2733	9400	14520	50243	11247	8946	10383	112057	10059	15649	17885	4871	11538	9150	1498	3707	8914	11668	5019		6130	85602	1025	1255	6266	1221	9181	2087	1235	5693	5606	38575	6228	2977	4253
2020	1_UT	UT	Utah	20201_UT	86956	226044	27240	3773	3465	4884		6489	14238	22449	36558	30445	33343	22417	3133	15874	34832	4718	18401	9234	2135	11348	19571	33250	8854	6211	17633	117142	2700	14523	26374		10810	7379	1474	5666	12999	11728	4660	4229	11040		433	1351	8458		7591	1855	661	5682	6572	21522	4194	1982	6593
2020	1_VA	VA	Virginia	20201_VA	195310	267786	37626	7294	6338	9067	10455	10619	23548	37149	55538	46153	61726	58305	1885	22658	25112	8683		15604	4748		37790	69017	16941	12214	25454	162291	1542	20097	19209	6004	15255	11832	3064	13282	23301	18961	9048	6508		135154	343	2561		2679	12063	3772	1684	16739	14489	50056	7893	5706	11266
	1_WA	WA		20201_WA	274836	369513	48694	7184	5273	8936	8789	10083	19292	32859		55326	86501	111159	2162	33443	65759	9790	41354	16401	14372	26943	77684	67897	19586	14888		245996	1577	29686	50487	7073	24254	12466	10394	12965	50505	18865	10528	7856	9340	160925	585	3757	15272	2717	17100	3935	3978	13978	27179	49032	9058	7032	7302
2020	1_WI	WI	Wisconsin	20201_WI	167752	386242	49649	10092	7835	14625	15810	17158	34075		74601	56184	67296	46047	3600	23578	81750	13303	34957	19856	5104	22337	31178	71747	18251	12087	15348	199952	3040	21492	56938	9096	19949		2866	9170	18280	17516	10829	6688	8562	153144	560	2086	24812	4207	15008	4330	2238	13167	12898	54231	7422	5399	6786
2020	1_WV	WV	West Virginia	20201_WV	102466	370497	65686	17488	20076	25137		25564	43096	54417	65901		39239		11454	15460	21030	6094	27664	15885	4460	12415	19428	71140	14645	10052	21584	140433	10769	14291	17582	5101	15996	13563	2643	5239	12084	17511	7227	6941	11486	110878	685	1169	3448	993	11668	2322	1817	7176	7344	53629	7418	3111	
2020	10_CA	CA	California	202010_CA	333163	306840	51882	7729		10010	6777	8068	17612	26287	46184	45254	73449	153253	1699	24506	35145	10372	29672	20593	14246	38628	83035	76566	19885	14442	20018	224769	1298	21180	24498	7058	18044		9293	19763	52603	25761	11820	7009	11176	164038		3326	10647			5327	4953	18865	30432	50805	8065	7433	8842
2020	10_FL	FL	Florida	202010_FL	229997	415284	70431	15029	9990	14186	15252	18460	36281	53126	70766	47054	51411	43278	1258	26787	21704		38668	24370	8344	30532	61298	76263	58760	15222	14541	212752	780	23627	15516	7273	21750	17838	5757	15574	36012	21106	31391	8680	7448	174872	478	3160	6188	2604	16918	6532	2587	14958	25286	55157	27369	6542	7093
2020	10_GA	GA	Georgia	202010_GA	100479	265956	48960	9324		11777	12242	12876	25456	32244		30268	34660	23587	2563	17535	30266	6539	20452	15812	3426	11308	20471		12010	9843	13080	118481	2027	15318	20432	4531	10837	12142	2076	5684	12263	13290	5986	6175	7720	96426	536	2217	9834	2008	9615	3670	1350	5624	8208	38312	6024	3668	5360
2020	10_IL	IL	Illinois	202010_IL	202108	187345	35641	6152	4236	6501	6559	8067	16695	22017	36250	29629	45853		718	11073	42802	13079	23371	11135	4180	26970	41617	44878	13945	8364	8588	146986	490	10006	27572	8434	13950	8361	2540	16596		14625	8225	4489	4439	103734	228	1067	15230	4645	9421	2774	1640	10374	14358	30253	5720	3875	4149
2020	10_MI	MI	Michigan	202010_MI	113331	281971	38919	7200	6516		13120	13377	28293	39658	55033	39459	45674	29476		12187	60607	6751	22010	11307	3369	17486	25469	44304	13525	8433	8853	133660	230	10901	46016	5018	13003		1880	6711	14304	9814	7517	4775	4911	101057	186	1286	14591	1733	9007	2727	1489	10775	11165	34490	6008	3658	3942
2020	10_NC	NC	North Carolina	202010_NC	127391		78225	13273	10954	21096	22496	21371	41419	58917	73195	49072	48208	34144	3896	23270	83527	11634	35458	21946	4043	15717	25734	62243	17469	14240	13989	192503		20925	57540	8878	19555	16709	2770	7186	15603	13341	9140	9227		140663	827	2345	25987	2756	15903	5237	1273		10131	48902	8329	5013	5429
2020	10_NJ	NJ	New Jersey	202010_NJ	181289	324190	69253	14228	14761	16592	14821	14874	30757	34958	53717	37055	47236	52251	533	19784	23317	9137	27837		8470	29679	44542	69351	17716		17358	172295	363	18733	14488	6112	16408	24707	5205	17014	24786	18766	9964	6430	9319	141812	170	1051	8829	3025	11429	9227	3265	12665	19756	50585	7752	6019	8039
2020	10_NY	NY	New York	202010_NY	375325	217976	88330	15092	13595	22049	15712	15728	26819	35166	49375	42927	61150	127711	253	12572	12124	8290	25369	13659	26795	62218	82604	77411	32412	14180	12452	208302	179	11673	6973	5423	13201	11043	14660	39286			20736	6412	6356	172037	74	899	5151	2867	12168	2616	12135	22932	35945	51710	11676	7768	6096
2020	10_OH	OH	Ohio	202010_OH	114782	297868	39692	10865	12482	15200	16468	16803	32310	42392	56432	40015	40809	28038	1465	12312	39524	5695	21926	12978	3816	14850	25784	55384		7408		128255		10957	29543	4356	11940	10195		5878	15902	13976	6056	4302	11625	104033	256	1355	9981	1339	9986	2783	1500	8972	9882	41408	6495	3106	6970
2020	10_PA	PA	Pennsylvania	202010_PA	163121	346046	45955	8419	8158	11239	12787	14729	30729	45432	71714	54834	63532	45141	3129	19867	45259	11641		26041	4646	26450	34910	73173	14743	13477	29387		2605	17981	32826	8638	16201	20464	2854	11075	21480	18542	8070	7915	16464	146811	524	1886	12433	3003	13002	5577	1792	15375				5562	12923
2020	10_TX	TX		202010_TX	136720	236432	40492	8804	7659	9104	8407	10775	18588	26183	37463	25510	35652	42183		19427		6672	19396	10277	3684	12923	21725	52754	12024	8476	9910	126024		17076	17607	4737	10397	8562	2224	6258		16691	5873	5039	6788	87308	2045	2351	5280	1935	8999	1715	1460	6665	8085	36063	6151	3437	3122
2020	10_VA	VA	Virginia	202010_VA	286851	218732	42332	3681	2483	3192	3016		9548	15993	30721	30638	57795	122132	1736	25343	15471	4449	23166	13531	11449	27938	98907	53507	16593	15942	37637	203801	1391	22068		3222	13496	10578	7909	15034	64751	14325	8933	7495	23902	141868	345	3275	4774	1227	9670	2953	3540	12904	34156	39182	7660	8447	13735
2020	10_WA	WA	Washington	202010_WA	67834		27023	4293		3814	4502	4899	10693	19722	32543	29167	37345	26351	1478	16261	18115		16855	11429	1926	7459	15052	31477	8763	5556	16681	91582		14733		5121	9169	8798	1333	2850	9273	7996	4000	3139	9527	66455	174	1528	3776	1864	7686	2631	593	4609	5779		4763	2417	7154
2020	11_CA	CA	California	202011_CA	378951	189900	47751		7362	17506	10152	9217	16630	21317	35440	31368	54928	148204	520	11330	21776	7080	30251	17459	26863	37206	106231	61979	30052	13317	13445	210521	340	9764	14253	3959	15849	12903	16808	21787	62295	21154	18283	6140	6986	166988	180		7523	3121	14402	4556	10055	15419	43936	40825		7177	6459
2020	11_FL	FL	Florida	202011_FL	96206	222571	40221	5236	6086	10007	10901	11276	26675	36107	49948	37523	41930	29910	2351	20233	10128	6221	21453	8751	3421	13445	23419	38977	25863	9077	10425	109959	1779	17502	8014	4690	12447	7085	2027	6169	14377	10011	15203	4858	5797		572	2731	2114	1531	9006	1666	1394	7276		28966	10660	4219	4628
2020	11_GA	GA	Georgia		50369	51373	6906	1697	1035	1337		1925	3937	5580	9200	9063		17718	90	4524	7071	2584	6645	3323	2234	6954	12303	12282	3094	3005	2253	38675	77	4015	5007	1694	3855	2531	1469	3974	7768	3635	1748	1560	1342	27687	13	509	2064	890	2790	792	765	2980	4535	8647	1346	1445	911
2020	11_IL	IL	Illinois	202011_IL	314825	427584	73936	8421	6621	9662	11915	13349	27324	45034	74285	64997	98809	111533	2897	31893	85430	21544	45616	32556	9371	45499	66091	90435	24886	19082	16418		2214	28943	60372	14710	26231	25203		22951	41754	25595	14089	11431	10512	201600		2950	25058	6834	19385	7353	3258	22548	24337	64840	10797	7651	
	11_MI	MI	Michigan	202011_MI	214373	200854	25312	6941	6659	9365	9419	10023	22424	29800	44921		52224	61498	597	11761	59784	7051	20397	7143	4588	25547	42652	50361	13929	8733	8021	152695	380	10577	45213	5194	12216	5181	2615	13276	25908	15347	7742	4542	4504	107869	217	1184	14571	1857	8181	1962	1973	12271	16744	35014	6187	4191	3517
	11_NC	NC	North Carolina	202011_NC	118345	255359	41789	7789	9319	16478	16704	15714	34576	43023	55902	36830	36185	25232	2662	19509	30311	4729	24020	8164	3077	11650	19121	55506	21719	10580	11012	124372	2142	18229	21848	3411	13737	6656	2204	5112	11680	14816	11302	6783	6452	97688	520	1280	8463	1318	10283	1508	873	6538	7441	40690	10417	3797	4560
2020	11_NJ	NJ	New Jersey	202011_NJ	308239	254750	34994	6749		7929	7995	9210	17768	25110	43202	42060	64405	127007	474	18630	40304	13532	27446	18810	15517	45075	61350	77791	15857	12307	16686	209374	322	16751	25302	8805	17026	14597	10151	27201	37819		9513	6412	10607	154405	152	1879	15002	4727	10420	4213	5366	17874	23531	52923	6344	5895	
2020	11_NY	NY	New York	202011_NY	115923	172699	32689	6753	4124	6700	5534	5842	11035	16260	26032	21420	35297	43636		14007	4882	3666	12851	14681	4085	19210	19895	52586	9940	6083	13868	98230	116	13020	3185	2606	7577	12054	2627	10813	12678	13821	6222	3084	10427	77704	64	987	1697	1060		2627	1458	8397	7217	38765	3718	2999	3441
2020	11_OH	OH	Ohio	202011_OH	169013	361393	60931		24012		25819		46948	60194	74025	44570	44355	35477	618	12340	44367	10107	25780	16125	5300	27270	34676	85309	21764	12595	16302	162197	420	11056	31828	7291	14002	12129	3023	12252		23283	12080	6438	8201	150356	198	1284	12539	2816	11778	3996	2277	15018	14482	62026	9684	6157	8101
2020	11_PA	PA		202011_PA	92250	207714	43750	3905	3504	6804	7365	9171	18715	25181	42898	35085	41449		4702		37957	7572	20454	11352	3401	13370	18582	44314	9024	8891	7210	123983	3921	17695	28699	5192	12231	8853	2217	5583	11660	12370	4921	5800	4841	81897	781	1356	9258	2380	8223	2499	1184		6922	31944	4103	3091	2369
