Year	cd	State Code	State Name	Conccat	Bachelors_degree_or_higher	high_school_or_some_degree	Less_than_high_school_graduate	Less_than_$5000	$5000_to_$9999	$10000_to_$14999	$15000_to_$19999	$20000_to_$24999	$25000_to_$34999	$35000_to_$49999	$50000_to_$74999	$75000_to_$99999	$100000_to_$149999	$150000_or_more	Total_Agriculture_forestry_fishing_hunting_mining	Total_Construction	Total_Manufacturing	Total_Wholesale_trade	Total_Retail_trade	Total_Transportation_warehousing_utilities	Total_Information	Total_Finance_insurance_realestate_rental_leasing	Total_Professional_scientific_management_administrative_waste_management_services	Total_Educationalservices_healthcare_socialassistance	Total_Arts_entertainment_recreation_accommodation_foodservices	Total_Otherservices_except_Public_administration	Total_Public_administration	Male	Male_Agriculture_forestry_fishing_hunting_mining	Male_Construction	Male_Manufacturing	Male_Wholesale_trade	Male_Retail_trade	Male_Transportation_warehousing_utilities	Male_Information	Male_Finance_insurance_realestate_rental_leasing	Male_Professional_scientific_management_administrative_waste_management_services	Male_Educationalservices_healthcare_socialassistance	Male_Arts_entertainment_recreation_accommodation_foodservices	Male_Otherservices_except_Public_administration	Male_Public_administration	Female	Female_Agriculture_forestry_fishing_hunting_mining	Female_Construction	Female_Manufacturing	Female_Wholesale_trade	Female_Retail_trade	Female_Transportation_warehousing_utilities	Female_Information	Female_Finance_insurance_realestate_rental_leasing	Female_Professional_scientific_management_administrative_waste_management_services	Female_Educationalservices_healthcare_socialassistance	Female_Arts_entertainment_recreation_accommodation_foodservices	Female_Otherservices_except_Public_administration	Female_Public_administration
2020	6_KY	KY	Kentucky	20206_KY	130250	224914	33347	7464	9260		10457	10832	23574	30891	42397	31125	35725	27578	3988	11926	31861	6191	20872	10261	2881	12609	21376	55683	12272	9051	11075	118041	3075		23959	4601	12466	8452	1769	5880	12600	17257	6228	4792	6237	92005	913	1201	7902		8406	1809	1112	6729	8776	38426	6044	4259	4838
2020	6_LA	LA	Louisiana	20206_LA	71103	135370	19374	3373	2339	3076	3803	6139	10237	16501	22534	18827	24740	22454	1783	15057	16543	4290	12286	7153	2831	9500	14666	30170	8793	5932	9633	77150	1477	12907	13744	3120	7079	5470	1323	3652	8906		4316	3307	5253	61487	306		2799	1170	5207	1683	1508	5848	5760	23574	4477	2625	4380
2020	6_MA	MA	Massachusetts	20206_MA	204125	199825	30467	6178	5322	9946	8814	7864	15313		35572	32960			925	16592	31213	6513	20600		7910	23552	43835	60361	13351		13775	148058	745	15145	23150	4529	12780	8547	4509	12725	27740	17127	7376	5084	8601	111368	180	1447	8063		7820	2399	3401	10827	16095	43234	5975	4769	5174
2020	6_MD	MD	Maryland	20206_MD		259147		5831	6233	7489	7682	9086	18124	27163		36270	53222	64416	1935	23759	18562	5521	22666	12177	6692	19132	53413	53801	14942	13157	32561	159364	1504	21209	13345	4132	13852	9825	4376	9038	33157	14186	8077	7145	19518	118954	431	2550	5217	1389		2352	2316	10094	20256		6865	6012	13043
2020	6_MI	MI	Michigan	20206_MI		301982		9668	7764	10265	11008	12381	26137	38510	59550	48083	65699	76563	1539	12751		8429	22854	16256	5501	19101	41000	85473	15138	10370	10737	187362	1206	11515		6215	13013	12267	3416	9082	26449	28833	8780	5998	6168		333	1236	17600	2214	9841	3989	2085	10019	14551	56640	6358	4372	4569
2020	6_MN	MN	Minnesota	20206_MN	96210		19260	3159	3117	5157	5192	5892	13576	21142	32880	30443	40903	31305	3272	18464	37900		17991	11269	2424	16117	17622	42272	7323	7648	7644	112660	2707	16749	27153	5170	10237	8913	1491	7319	10042	10867		4476	3725	84272	565		10747	1816		2356	933	8798	7580	31405	3512	3172	
2020	6_MO	MO	Missouri	20206_MO	128764	353872	45224	9545	8353	13590	15098	15642	33691	43440	62805	47806	50013	31868	8901	21211		9306	29976	24428	5368		26535	66481	14178	11273	18696	170770	7753	18932	36607	6858	16563	19311	2977	8098	14179	15350	7091	6661	10390	135588	1148	2279	12671	2448		5117	2391		12356	51131	7087	4612	8306
2020	6_NC	NC	North Carolina	20206_NC	173198	383894	73169	14494	13873	21885	22088	21322	42900	57893	71937		52962	35760	1751	21353	59442	12149	34462	21796	5050	25028	31689	80057	18559	13583	13612	186397	1449	19856	41505	7814	20422	17046	3002	9196	19147	21081	9521	8169	8189	152134	302	1497	17937	4335	14040	4750	2048	15832	12542	58976	9038	5414	5423
2020	6_NJ	NJ		20206_NJ	216099	299999	55633	8240	7267	9213	9857	10710	20711	28271	47519	41386	61327	75727	774	19901	29723	12757	29886	26440	9362	32008	51547		16048	11228	14434	185559			18636		17613	20029	6587	18629	32956	18654	8997	6345	9189	132496	110	1656	11087	3742	12273	6411	2775	13379	18591	45293	7051	4883	5245
2020	6_NY	NY	New York	20206_NY	129016	231575	85741	7399	6925	9773	11103	11113	22112	29340	40251	30682	36683	31477	298	22572	9623	6182	21957	18817		20578	25846	46644	32893		10006	140176	210	20677	5991	3932	13235	16595	3377	11814	14494	12808	23223	7779	6041	99309		1895	3632	2250	8722	2222	2095	8764	11352	33836	9670	10818	3965
2020	6_OH	OH	Ohio		67915		33012	9360	10372	14619	14655	15726	30059	37125	47444	32649	29972	15239	4981	12814	33020	4984	18594	14019	2414	9313	13565	45286	9913		8264	106786	4498	11648	26370	3921	10149	11671	1499	3830	8452	10411	5090	4693	4554	77652	483	1166	6650	1063	8445	2348	915	5483	5113	34875	4823	2578	3710
2020	6_OR	OR	Oregon	20206_OR	221522	383299	70148	8807	8084	12314	12964	14530	31546	46095	73306	55889	75560	69234	12173	29729	54873	12621	37657	15426	6252	26284	43886	77791	19099	12352	25528	217921	9843	26687	41229	9369	22302	11570	3791	12528	26458	23044	11273		12994	155750	2330	3042	13644	3252	15355	3856	2461	13756	17428	54747	7826	5519	12534
2020	6_PA	PA	Pennsylvania	20206_PA		251429	46585	6537	6128	8093	8778	9840	22223	28636		39403	60151	86848	6652	19061	48885	10129	25897	12917	6596	35717	49748	67329	12592	10564	9084	184900	5128	17098	35390	7297	14922	9988	4589	19731	31473	20684	6806	6102	5692		1524	1963	13495	2832		2929	2007	15986	18275	46645	5786	4462	3392
2020	6_SC	SC	South Carolina	20206_SC	236727	548914	94062	26722	22872	27560	26982	29085		76154	99304	65963	67604	51453	4857	35389	56439	10358	44056	28256	9428		48098	107824	31334	21346	36658	245710	3992	31569	41121	6998	23004			12748	27319	25788	15501	13121	18594	220355	865	3820	15318	3360	21052	6909	4820	19274		82036	15833	8225	18064
2020	6_TN	TN	Tennessee	20206_TN	61016	171636	28626	5535	5899	9532	9620	8692	18238	24206	30949	21133	21828	14774	2290	10545	21831	4911		10197	2185	8561		29979	9363	6765	7380	80414	2070	9666	15766	3724	8577	7649	1371	3568	7705	7439	5028	3682	4169	63186	220	879	6065	1187	7378	2548	814		5933	22540	4335	3083	3211
